Headline,Paragraph,URL,Category

Nigeria at 61: President Buhari speech today as Nigeria mark Independence Day,"Nigeria President, Muhammadu Buhari don address im citizens as di kontri celebrate 61 years of independence on Friday October 1st, 2021. President Buhari say upon di challenges wey di kontri dey face today, most Nigeria still dey maintain di spirit of 1st October celebration. Di president say di goment most priorities na to continue stabilize di economy afta di deep recession wey di kontri experience and to restore peace for areas wey dey face security challenges. But di Covid-19 pandemic pandemic and di impact on different kontries don make e goment shift gears and re-strategise. E appeal to Nigerians not to take Covid-19 likely. Nigeria get dia independence from Britain for October 1st, 1960. President Buhari also take di opportunity to remind di global community that di current rate of access to Covid-19 vaccine no dey acceptable. ""We no fit afford a situation where just few kontries keep di global vaccine supply to demsef at di expense of oda nations."" Concerning security challenges wey Nigeria dey face, President Buhari say di goment don take di fight to di kontri enemies from all angles to secure Nigeria and dem dey win dis fight. ​""For di North East region alone, over eight thousand Boko Haram terrorists don surrender."" To fight banditry, di president say Nigerian Armed Forces don recruit ova 17,000 personnel and e don approve forNigerian Police Force to recruit 10,000 police officers annually over di next six years. E say di goment dey ready to arrest any pesin wey dey incite violence through words or action.  ""Our hope no be to fight for peace. We fit always settle our grievances peacefully without spilling any blood,"" di president tok. E add say ​Nigeria na for everybody and di unity of di kontri no dey negotiable plus advise Nigerians to embrace peace and comot hands from violence. President Buhari say di recent arrest of Nnamdi Kanu and Sunday Adeyemo, and di ongoing investigations wey dem dey do don reveal certain high-profile pipo wey dey finance dem. ""We dey seriously pursue all dis financiers including one identify as a serving member of di national assembly."" ""My kontri pipo, dis na clear example of how pipo abandon dia national leadership positions for dia selfish gains.  ""Instead of preaching unity, dem dey fund and mislead our youth to do criminal acts wey sometimes lead to unfortunate and unnecessary loss of lives and property,"" President Buhari tok. E add say as di so-called leaders run go abroad to hide, di innocent youths dey mislead and abandon for streets to fight for dia senseless and destructive causes. President Buhari say im don direct make dem lift di suspension of twitter only if dem meet di conditions to allow di kontri citizens continue di use of di platform for business and positive engagements.   ""Social media na very useful platforms wey don make millions of Nigerians connect with loved ones... but recent events don show say some users dey misuse di platform to promote fake news, commit crimes and odas."" ""To address dis negative trends, Federal Goment suspend Twitter for Nigeria on June 5, 2021 to address dis challenges."" Di president say afta di shutdown, e set up committee wey go tok with Twitter to settle di issues and di Committee, along with dia Technical Team don address some issues; ​And afta di committee tok-tok with twitter, di president say e don direct make dem lift di ban except Twitter meet di conditions wey goment give dem. ""As a kontri, we dey committed to ensure say digital companies use dia platform to enhance di lives of our citizens, respect Nigeria sovereignty, cultural values and promote online safety."" President Buhari tok say di food prices wey dey go up recently na sake of di artificial shortages wey middlemen wey dey buy and hide food create. ""Unfortunately, as our food production capacity don increase, food prices don dey go up because of artificial shortages wey middlemen wey dey buy and hoard dis essential commodities create for profit."" In order to address dis, di president direct di Ministry of Agriculture and Rural Development to rehabilitate di National Food Reserve Agency. And make dem also work with security agencies, di Nigerian Commodity Exchange, and di National Assembly to find  lasting solution to dis hiding activities.",https://www.bbc.com/pidgin/tori-58758300,MOST_POPULAR

eNaira: CBN launch eNaira website - See how e dey different from your regular bank account,"Central Bank of Nigeria don launch eNaira website wey be di kontri first digital currency platform. CBN say eNaira go provide ""unique form of money wey dey denominated in Naira"". Dis one mean say as legal tender, pesin fit use di digital form of di Naira like cash to buy things. Initially, CBN bin plan to launch di website www.enaira.com on October 1 wey be Nigeria Independence day but now di website don go live. According to di website, CBN say ""eNaira go increase local and International Trade by making transactions cheap, safe, quick and better."" But di question wey dey for so many Nigerians mind na how dis digital currency go dey different from regular bank accounts? CBN say di eNaira na direct liability on di Central Bank of Nigeria while di customer deposits na direct liabilities on financial institutions. Dem say di eNaira go get di same value as physical naira. E no go replace cash and go circulate alongside am. ""Di eNaira go complement cash as a less costly, more efficient, generally accepted, safe, and trusted means of payment."" Such launch of di eNaira dey come at a time di appex bank for Naira don ban other digital currency transactions for di kontri like cryptocurrency.  But di CBN don argue say di eNaira app wey dem launch so go support Nigeria digital economy. Dem say di eNaira benefits go dey ""fast, cheap, reliable and e go be available payment channel."" ""E go also improve effectiveness of monitary policies and go ease tax remittance and collection,"" CBN add. One tin to note about di eNaira na say dem no dey offer any interest rates, unlike fintech platforms.  We eye still dey for dis tori, more dey come.",https://www.bbc.com/pidgin/tori-58716883,MOST_POPULAR

"Dora Akunyili husband: DSS, Ipob deny killing of Dr Chike Akunyili","Department of State Services (DSS) don deny allegation wey say dia operatives kill Dr Chike Akunyili. For one statement from di Public Relations Officer, Department of State Services, National Headquarters, Dr Peter Afunanya, DSS say dem go track down those wey dey behind di murder. ""Di attention of di Service don dey drawn to di allegation dat dia operatives kill Dr Chike Akunyili."" ""Also, di Service dey alerted to one social media video wey claim say 'Nigerian DSS' murder security escorts for Nkpor, Anambra State on 28th September, 2021."" ""Di service hereby deny all dis allegations and wish to clearly state say dem dey fake and illogical. No basis for di DSS to kill di medical doctor or fellow law enforcement agents."" Di Department of State Services add say dem cherish life and believe in di rule of law. DSS also advise pipo for public to dey careful of false tori from those pipo wey wan use DSS to cover up dia bad crime. ""Meanwhile, di Service and sister agencies no go stop to track down those wey dey behind di breakdown of law and order for parts of di kontri with di plan to bring dem to justice."" On Tuesday, 28th September, gunmen kill Dr Chike, di husband to di former Director-General of di National Agency for Food and Drug Administration and Control (NAFDAC), late Prof Dora Akunyili. Di incident happun for Umuoji inside Idemili North Local Goment Area of Anambra State, according to local media. And dis don cause different speculations for Nigeria as pipo begin point accusing finger upandan for social media. Anambra state police oga, Tony Olufu wey visit di scene of di attack tok say dem go sharperly put an end to di madness for di state. Nigeria President Muhammadu Buhari don express deep sadness ova di killing of Dr Chike Akunyili. For one statement from im Special Adviser on Media and Publicity, Femi Adesina, di president tok say e share di pain of di offspring of Prof and Dr Akunyili, dia families and friends. President Buhari tok say e get fond memories of working with di late Dora Akunyili for di Petroleum Trust Fund (PTF), adding dat; ""Nigerians no go ever forget di memory of di amazon, wey distinguish herself as courageous, dependable and patriotic citizen."" Di President advise security agencies and leaders of thought to work harder to end di violence on innocent Nigerians. E promise di families wey lose dia loved ones say di pipo wey do dis bad crime go face both di judgment of man, and dat of God. Anambra State Governor, Willie Obiano  place N20m reward for those wey fit provide information on who kill Dr Chike Akunyili. Governor Obiano, say di state goment decision na to drive home dia concern to how dis mata dey serious well-well. E condemn in very strong terms, di violence wey don dey happun for Anambra state for di past few days. ""Since last weekend, some armed pesin don unleash terror with sporadic attacks on innocent citizens for various parts of di State."" ""Between Sunday 26th and 28th September, 2021 attacks on citizens for Oko, Agulu, Obosi, Nkpor, Nnobi, Nnewi and oda places don leave 10 pipo dead including one illustrious son of dis State, Dr Chike Akunyili."" Di Governor advise all citizens of Anambra State and every pesin wey dey live or do business there to join hands stop di senseless killings. Di proscribed Indigenous Pipo of Biafra (IPOB) tok say dem no get hand inside for di killing of Dr Chike Akunyilli IPOB tok dis one for inside statement dem release on Wednesday 29 September 2021. ""We no get issues wit Chike Akunyili and no be we kill am, those wey dem behind dis must stop dis and stop to dey use IPOB name."" Dem tok",https://www.bbc.com/pidgin/tori-58745492,MOST_POPULAR

Nigeria Independence Day: Goment declare Public holiday to mark di kontri 61st Independence celebration,"Nigeria Federal goment don declare Friday, October 1, as public holiday to mark di kontri 61st  Independence anniversary Celebration.   Minister of Interior, Rauf Aregbesola na im make di announcement on behalf of di Federal goment. E congratulate all Nigerians for dis year celebration and say goment dey committed to tackle and end all di kontri challenges.  ""A kontri of about 200 million and above pipo wey natural talent, grit and passion dey shine like di precious diamond wey we be"", na so e tok ""Nigerians dey sparkle like diamonds for pack, weda na Academics, Business, Innovation, Music, Movie, Entertainment, Fashion and culture. We be di leading black nation for di whole world and no doubt  Africa pride and beacon of hope"" Aregbesola add. On October 1, 1960 Nigeria, Africa most populous nation declare im independence from British colonial rule. Di Minister confirm say, to celebrate Nigeria 61 Independence Anniversary dey necessary, but add say di safety of kontri pipo na di President major concern, especially wit COVID-19 third Delta variant  wey still dey worry.  So e say dis year celebration go happun but without di usual serere.  Aregbesola use di opportunity to wish Nigerians fruitful independence celebration. E still remind kontri pipo of wetin di founding fathers tok, wia dem say in spite of di difference in faith, tribe and tongue dem bin come together for Nigeria independence. For di end of im statement e tell kontri pipo say ""We must work together to make Nigeria great."" Aregbesola tok. Tori be say di activities to mark di 61st Independence Day celebration bin start on Sunday 26 wit Thanksgiving service for Abuja. Vice President Yemi Osinbajo and im wife attend di service wit Christian leaders.",https://www.bbc.com/pidgin/tori-58750519,MOST_POPULAR

UK temporary visa scheme for foreign lorry drivers and poultry workers - All you need know,"Up to 10,500 lorry drivers and poultry workers fit get temporary UK visas. Dis dey come as goment wan try limit disruption in di run-up to Christmas. Goment confam say 5,000 fuel tanker and food lorry drivers go dey eligible to work for di UK for three months, until Christmas Eve. Dem go also extend di scheme to accommodate 5,500 poultry workers. Transport Secretary Grant Shapps say e go allow dem ""ensure preparations remain on track"" for di festive season. But di British Chambers of Commerce say di measures be like to ""throw a drop of water for big fire "". Road Haulage Association say di announcement ""barely scratch di surface... validity to Christmas Eve no dey long enough from wia we dey now"". But di freight industry group Logistics UK bin welcome di news and dem call di policy ""a huge step forward to solving di disruption to supply chains"". Recruitment for additional short-term HGV drivers and poultry workers go begin in October, authority tok. Di Road Haulage Association say: ""Haulage companies go need full details on visas clearly presented on Monday so dem fit start recruitment processes. Di shortage of drivers no dey make fuel deliveries go well, plus some petrol stations don close down, and queues dey form. Di Road Haulage Association estimates say di UK dey short of about 100,000 HGV drivers - and di pandemic plus di Brexit move don make di shortage worse. Di government and industry leaders don reassure the public - say fuel shortage no dey for refineries, and ask pipo make dem no dey do panic buying. But di shortage of drivers don threaten more disruption to deliveries of petrol, food and oda goods. Sainsbury say e dey experience ""high demand"" for fuel, wit a ""tiny proportion of sites"" wey dey temporarily closed. BP say about 20 of im 1,200 petrol forecourts dey closed, as between 50 and 100 sites dey affected by di loss of at least one grade of fuel. A ""small number"" of Tesco refilling stations don dey impacted, Esso wey be owner of ExxonMobil tok. EG Group, wey get 341 petrol stations for di UK, dey introduce a limit of £30 per customer on all grades of fuel due to ""unprecedented customer demand"". One petrol station for Stockport sell 5,280 gallons (24,000 litres) of fuel on Friday, compared to 1,760 gallons (8,000 litres) on di same day di previous week. Di European Road Haulers Association say temporary visas go be ""good idea"" but na ""only part of di solution"". Di association say e go dey easier to drive within di EU dan driving between di EU and di UK. Dis one mean say to stay for di EU go dey more appealing for drivers. Allan Davison, managing director of Hoyer Petrolog UK - BP's transport contractor - tell BBC say dem need di temporary visas. ""If dis na permanent request, I go understand di political and practical challenges wit dat, but no be so,"" he tok. ""Na temporary request."" One Downing Street tok-tok pesin say: ""We get ample fuel stocks for dis kontri and di public suppose dey reassured say shortages no dey."" Di tok-tok pesin say di goment dey look at temporary, time-limited measures to introduce. ""We dey move to a high wage, high skilled economy and businesses go need to adapt wit more investment in recruitment and training to provide long-term resilience,"" im add.",https://www.bbc.com/pidgin/tori-58689345,MOST_POPULAR
